DATE,SYMBOL,MEAN_PRICE,MIN_PRICE,MAX_PRICE
2022-04-16,stETH,3032.414962373,3009.174816173,3061.187037551
2022-05-14,WETH,2016.821612579,1960.37930664,2054.938298497
2022-05-26,stETH,1831.915558898,1743.116029813,1913.605454545
2022-01-16,stETH,3329.433759886,3302.873518947,3365.336887571
2022-01-07,WETH,3228.816047393,3155.287349612,3393.630593186
2022-04-27,WETH,2863.013756968,2810.489919653,2897.534558315
2022-03-27,stETH,3163.801309555,3132.959736706,3274.22476196
2022-03-24,WETH,3062.585432465,3017.831115003,3110.122511999
2022-01-11,stETH,3136.773569968,3050.461071528,3233.69284086
2022-01-27,WETH,2407.662624392,2332.129061402,2485.010114492
2022-01-19,stETH,3112.686561154,3056.529686973,3160.005490276
2022-04-21,WETH,3085.527029811,2981.137854831,3163.922962957
2022-03-02,stETH,2961.571454788,2923.70666406,3010.392405403
2022-03-14,stETH,2557.46782323,2509.834682608,2591.998674372
2022-01-25,stETH,2418.560605006,2366.130216777,2482.473575637
2022-03-16,stETH,2677.81906131,2615.22879414,2762.838398313
2022-02-21,stETH,2676.357211733,2580.563961428,2739.824158017
2022-04-09,WETH,3218.800128505,3199.62258056,3248.958943503
2022-02-10,stETH,3178.372553619,3088.17726418,3240.799886551
2022-06-12,WETH,1481.325876809,1440.889995689,1535.138919131
2022-01-01,WETH,3728.034274816,3693.891148079,3761.720690628
2022-04-18,WETH,2959.265980836,2898.039996964,3055.87325812
2022-05-06,WETH,2712.616564364,2676.836627115,2749.58618242
2022-05-09,WETH,2397.321651271,2269.842068218,2521.935728669
2022-02-23,stETH,2664.212656603,2597.72488805,2738.201839381
2022-03-15,stETH,2569.20481211,2518.648351266,2643.847720797
2022-05-24,stETH,1926.993240958,1883.667455012,1947.993703704
2022-02-16,WETH,3128.830658737,3063.75791805,3173.071759587
2022-05-18,stETH,1973.470488232,1897.678342682,2068.000769231
2022-03-01,stETH,2930.618330206,2889.826519682,3010.726950396
2022-02-15,WETH,3073.480449935,2928.307697358,3157.077804753
2022-03-05,stETH,2632.677508272,2595.486159814,2668.900821078
2022-02-20,stETH,2651.372326486,2596.020910332,2740.932314124
2022-03-07,stETH,2534.984749638,2460.819230173,2625.999180785
2022-03-07,WETH,2540.37128046,2466.1924888,2632.145185863
2022-02-18,stETH,2855.854805164,2766.048844012,2928.543839692
2022-01-13,stETH,3320.013470277,3252.649212692,3377.644516453
2022-06-06,stETH,1833.663614426,1779.09,1870.294230769
2022-03-03,stETH,2876.934987458,2800.51930563,2949.988379088
2022-03-23,stETH,2964.387612996,2931.619719084,3018.035552093
2022-03-17,stETH,2781.690365374,2751.283476603,2813.627616372
2022-05-20,stETH,1969.141302621,1903.004444444,2016.879333333
2022-02-01,stETH,2750.476103899,2682.225550703,2786.941456052
2022-05-18,WETH,2010.311799969,1936.285969792,2099.001979784
2022-03-28,stETH,3340.317228368,3281.697261662,3407.000271585
2022-02-02,stETH,2731.066838217,2655.420706525,2782.950084305
2022-04-07,stETH,3210.518409094,3170.922408933,3247.652167709
2022-01-20,WETH,3154.461192967,3027.03325302,3252.272413772
2022-02-05,WETH,3012.343183035,2976.986684448,3039.316111459
2022-01-15,WETH,3324.95165321,3287.817878209,3362.507861981
2022-05-07,WETH,2678.015972476,2626.276798439,2694.94136716
2022-04-10,stETH,3251.274925138,3216.626842773,3287.863839388
2022-03-21,stETH,2889.336830755,2840.686368763,2935.530305925
2022-02-24,stETH,2457.293651441,2334.588399781,2649.942128123
2022-02-28,stETH,2699.44889417,2600.080466399,2903.775770844
2022-05-01,WETH,2778.565299567,2733.786846536,2824.209120747
2022-01-26,stETH,2505.767284892,2417.735299867,2627.016955257
2022-06-10,WETH,1741.758401189,1668.283488954,1796.134438891
2022-01-12,WETH,3301.055812437,3221.767156515,3384.649150801
2022-01-05,WETH,3761.569082697,3507.98074374,3830.229637822
2022-05-21,stETH,1926.151392256,1911.369445489,1946.446187993
2022-05-08,stETH,2540.26546667,2495.794047665,2631.092307692
2022-06-13,stETH,1210.694459204,1126.447192243,1382.746296296
2022-01-06,stETH,3415.412887659,3329.153114003,3516.561587082
2022-03-09,stETH,2707.12685512,2575.571198516,2755.039426528
2022-04-29,WETH,2871.671124357,2799.470726166,2936.189075559
2022-05-19,stETH,1934.593213524,1884.156043807,1983.666666667
2022-02-14,WETH,2892.497257247,2850.85574336,2951.576082798
2022-02-17,WETH,3024.814641784,2886.822259645,3148.090912314
2022-01-04,stETH,3779.868177198,3719.672104153,3852.392646028
2022-01-15,stETH,3321.049487928,3287.571376517,3354.95855826
2022-01-06,WETH,3428.638913746,3339.95934365,3535.914872858
2022-03-29,stETH,3402.941384072,3344.511687332,3459.100124273
2022-03-23,WETH,2970.266627265,2937.756185273,3024.386336961
2022-04-07,WETH,3213.944677409,3171.845498814,3254.260941192
2022-01-20,stETH,3148.470343516,3024.498650903,3245.521390668
2022-01-03,stETH,3775.412392965,3705.755181312,3817.27575421
2022-05-13,WETH,2073.263651603,1965.318140155,2134.381218566
2022-05-25,stETH,1928.890190368,1906.5384,1973.045
2022-06-01,WETH,1898.786262432,1798.851646804,1958.329681936
2022-05-25,WETH,1971.870578113,1945.580765269,2013.00871282
2022-06-05,WETH,1798.521483234,1781.569238482,1821.153606817
2022-05-01,stETH,2773.717677769,2735.851538462,2825.293846154
2022-05-29,stETH,1752.275892263,1733.566071429,1773.6468
2022-04-02,stETH,3471.176021779,3442.356387896,3511.561879635
2022-06-13,WETH,1277.628815957,1202.399284191,1436.204155903
2022-04-28,stETH,2910.063382302,2865.264347826,2971.5504
2022-01-30,stETH,2585.791665,2549.950762098,2611.429186988
2022-05-16,WETH,2040.183219412,2000.983547742,2130.122317937
2022-01-31,stETH,2573.022423147,2485.050388862,2682.022885063
2022-02-27,stETH,2725.312767156,2602.456874106,2815.851987546
2022-01-07,stETH,3213.928033297,3133.088452295,3377.968832093
2022-02-03,stETH,2637.470483635,2589.693107742,2691.404412355
2022-06-06,WETH,1875.490828628,1814.22129837,1910.361340453
2022-01-09,stETH,3124.702496449,3072.051102093,3196.580512247
2022-03-18,WETH,2846.621991014,2780.537777349,2963.341883009
2022-01-18,WETH,3163.236263429,3099.51206566,3232.126386003
2022-01-29,stETH,2553.34132524,2524.152000539,2607.731936206
2022-04-28,WETH,2915.106680115,2866.527580904,2967.681458101
2022-05-20,WETH,2005.464343564,1932.001426314,2046.482975702
2022-05-15,WETH,2064.717454392,2014.071115905,2143.509653105
2022-03-21,WETH,2894.176293385,2841.569917275,2944.817422048
2022-04-27,stETH,2859.475673261,2808.057346943,2891.28
2022-05-17,WETH,2068.077892954,2031.338891693,2099.686845788
2022-06-07,WETH,1756.735912453,1734.958921379,1822.611958935
2022-03-04,stETH,2695.418750805,2595.435182374,2801.861917954
2022-02-19,stETH,2767.746111491,2712.214078921,2813.9212511
2022-04-06,WETH,3292.380725432,3192.958952472,3366.629825061
2022-03-14,WETH,2560.333537577,2513.686639679,2594.407168173
2022-02-13,stETH,2906.099571742,2850.790980812,2936.863820688
2022-04-02,WETH,3478.569649338,3456.979113535,3513.69062922
2022-03-31,stETH,3357.585210722,3264.516012589,3413.828269485
2022-02-09,stETH,3151.647709431,3072.94593267,3252.812136048
2022-04-08,WETH,3255.648627964,3187.678740025,3293.009324451
2022-05-04,WETH,2853.071601846,2785.572733837,2952.939027218
2022-03-11,stETH,2576.8833247,2532.391704136,2651.880223152
2022-05-26,WETH,1873.733816944,1789.500192759,1955.619315543
2022-06-11,WETH,1596.449983456,1517.310689481,1676.20796585
2022-01-21,stETH,2814.522898166,2552.243726239,3002.904777651
2022-04-13,WETH,3064.605012801,3019.320370129,3119.73692368
2022-01-09,WETH,3135.092386899,3084.166755043,3202.722870129
2022-02-23,WETH,2668.901169475,2602.472220027,2744.381168507
2022-04-09,stETH,3215.806690748,3199.312384005,3245.476166939
2022-01-31,WETH,2583.733578371,2500.536155881,2689.00612146
2022-02-17,stETH,3019.52228664,2882.300083352,3143.243266195
2022-05-30,WETH,1904.691831273,1808.976071083,1997.950709991
2022-02-04,WETH,2832.430172698,2683.634586041,2958.765973461
2022-02-21,WETH,2681.932120695,2589.076184141,2743.116175795
2022-03-28,WETH,3344.543623375,3289.807060086,3415.303239262
