DATE,TX_ID,AMOUNT_IN,AMOUNT_OUT,GAIN_OR_LOSS,LOSING_TRADE_COUNTS,TRADE,IN_TOKEN,OUT_TOKEN,POOL_NAME,PLATFORM,ROUTER
2022-06-13,0x10ab86d7d109a2def80e07deb37fa64ce42af92662ba3d25d620d141f0c1776d,39.485922536,37.6,-1.885922536,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-07,0x67ed87b825bbeeff3132669fe7292cf36c2b775c99f33c38cd347f76c722726a,8.563089943,8.38021106,-0.1828788832,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-12,0xfff3e37a13388f40fd83f0567a428a48fb2f8e5c491d2151c1b9bb2a36d861d1,4.160635838,4,-0.1606358383,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-13,0xaf1888f3198ded7aa790b1a39dff039c62d41729734552cce6d931457b20b5ea,3.136469571,3,-0.1364695706,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-10,0x2e68545009b87801035c943d5f48ecf1f9dcf93142d8f517bfed8f888f9ca3d5,955.134353095,900,-55.134353095,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-10,0x3c637a360c435c47a3c154426208627479678c4f9cb05f4b9be4442c6f3d0243,52.391672154,50,-2.391672154,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-11,0x6faaa261ffa6d00a40310d47b9071ce347487ed5e5769e92f33845d3065bbd99,8.411720863,8,-0.4117208629,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-12,0x1741de87e42e87e385ccf66a4be371f31583b8400521af5c487f812114dc0c72,8.815593412,8.502316072,-0.3132773396,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-13,0x64b806b608418379fe049a1c493abf11b207d1d82902d949299aadcc0aa347d0,53.110066064,50,-3.110066064,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-08,0x543a336553d3e41fc7cf5708553bdcc935202d24e93a022ada43ba88a39b53a3,2.214312684,2.16365,-0.05066268368,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
