HOUR,TOKEN_ADDRESS,SYMBOL,DECIMALS,PRICE,IS_IMPUTED
2022-02-22 12:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2591.89653488,false
2022-02-22 13:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2588.031513706,false
2022-02-22 14:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2600.982605798,false
2022-02-22 15:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2634.693758918,false
2022-02-22 16:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2598.691574086,false
2022-02-22 17:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2591.830159495,false
2022-02-22 18:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2593.636739737,false
2022-02-22 19:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2601.682091976,false
2022-02-22 20:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2617.330749201,false
2022-02-22 21:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2612.413502949,false
2022-02-22 22:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2605.598716669,false
2022-02-22 23:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2624.751953618,false
2022-02-23 00:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2635.254014633,false
2022-02-23 01:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2624.832809578,false
2022-02-23 02:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2622.260021606,false
2022-02-23 03:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2619.693513179,false
2022-02-23 04:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2633.675120975,false
2022-02-23 05:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2645.649889012,false
2022-02-23 06:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2657.120789078,false
2022-02-23 07:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2666.391950272,false
2022-02-23 08:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2696.096972077,false
2022-02-23 09:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2707.402010319,false
2022-02-23 10:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2706.108914537,false
2022-02-23 11:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2708.167938813,false
2022-02-23 12:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2720.126659692,false
2022-02-23 13:00:00.000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,18,2738.201839381,false
